district,station,line,month,boarding,alighting
강남구,강남,2호선,202502,2264601,2219963
강남구,강남구청,7호선,202502,436222,482076
강남구,강남구청,분당선,202502,254955,292895
강남구,개포동,분당선,202502,118629,121387
강남구,구룡,분당선,202502,85985,85589
강남구,논현,7호선,202502,501007,523450
강남구,대모산입구,분당선,202502,154521,148206
강남구,대청,3호선,202502,283694,269836
강남구,대치,3호선,202502,360577,348928
강남구,도곡,3호선,202502,159373,161834
강남구,도곡,분당선,202502,197953,198530
강남구,매봉,3호선,202502,338556,323942
강남구,봉은사,9호선2~3단계,202502,580593,603201
강남구,삼성중앙,9호선2~3단계,202502,211352,220521
강남구,선릉,2호선,202502,1522696,1336999
강남구,선릉,분당선,202502,332471,502362
강남구,선정릉,9호선2~3단계,202502,272382,292626
강남구,선정릉,분당선,202502,198493,204663
강남구,수서,3호선,202502,519250,513676
강남구,수서,분당선,202502,468824,489747
강남구,신사,3호선,202502,765100,797642
강남구,압구정,3호선,202502,836533,891724
강남구,압구정로데오,분당선,202502,519643,564469
강남구,언주,9호선2~3단계,202502,316556,319987
강남구,역삼,2호선,202502,1347044,1511038
강남구,일원,3호선,202502,289145,281695
강남구,종합운동장,2호선,202502,212062,228685
강남구,종합운동장,9호선2~3단계,202502,137394,137434
강남구,청담,7호선,202502,489846,530228
강남구,학여울,3호선,202502,70678,72599
강남구,한티,분당선,202502,439711,455188
마포구,가좌,경의선,202502,154372,152095
마포구,공덕,5호선,202502,388579,409190
마포구,공덕,6호선,202502,511883,494642
마포구,공덕,경의선,202502,111385,88154
마포구,공덕,공항철도 1호선,202502,80664,109555
마포구,디지털미디어시티,6호선,202502,387340,419261
마포구,디지털미디어시티,경의선,202502,70019,67110
마포구,디지털미디어시티,공항철도 1호선,202502,372727,348822
마포구,마포,5호선,202502,395395,403669
마포구,마포구청,6호선,202502,390767,357335
마포구,망원,6호선,202502,445799,475453
마포구,상수,6호선,202502,271883,305490
마포구,신촌,2호선,202502,1004646,1015283
마포구,신촌,경의선,202502,22597,28646
마포구,애오개,5호선,202502,173484,171938
마포구,이대,2호선,202502,411265,447461
마포구,합정,2호선,202502,892303,977843
마포구,합정,6호선,202502,383398,375056
마포구,홍대입구,2호선,202502,2060268,2197605
마포구,홍대입구,경의선,202502,62232,75419
마포구,홍대입구,공항철도 1호선,202502,439288,421733
서초구,고속터미널,3호선,202502,1402055,1331419
서초구,고속터미널,7호선,202502,495227,398092
서초구,고속터미널,9호선,202502,422209,579801
서초구,내방,7호선,202502,388835,393075
서초구,반포,7호선,202502,174192,164902
서초구,방배,2호선,202502,419643,431468
서초구,사평,9호선,202502,108135,105108
서초구,서초,2호선,202502,598263,584858
서초구,신반포,9호선,202502,115106,112050
서초구,잠원,3호선,202502,135707,129709
영등포구,국회의사당,9호선,202502,459293,468310
영등포구,당산,2호선,202502,496076,560818
영등포구,당산,9호선,202502,516270,501861
영등포구,문래,2호선,202502,640058,657723
영등포구,샛강,9호선,202502,174854,174164
영등포구,샛강,신림선,202502,76421,89847
영등포구,선유도,9호선,202502,237236,221169
영등포구,신길,5호선,202502,131608,138957
영등포구,신길,경부선,202502,227881,205063
영등포구,양평,5호선,202502,212469,207085
영등포구,양평,중앙선,202502,85576,87349
영등포구,여의나루,5호선,202502,291257,350740
영등포구,여의도,5호선,202502,788320,819463
영등포구,여의도,9호선,202502,828310,786249
영등포구,영등포구청,2호선,202502,611963,630542
영등포구,영등포구청,5호선,202502,129935,126341
영등포구,영등포시장,5호선,202502,334119,337343
종로구,독립문,3호선,202502,208174,211811
종로구,동묘앞,1호선,202502,278882,287199
종로구,동묘앞,6호선,202502,248949,248803
종로구,안국,3호선,202502,748209,770495
종로구,을지로입구,2호선,202502,1323612,1357027
종로구,종각,1호선,202502,1070065,1040397
종로구,종로3가,1호선,202502,715916,650307
종로구,종로3가,3호선,202502,300550,338489
종로구,종로3가,5호선,202502,422713,423365
종로구,종로5가,1호선,202502,645268,629461
종로구,창신,6호선,202502,90664,74991
종로구,혜화,4호선,202502,1012284,1015358
